Название услуги,Цена,Код услуги,Длительность,Категория,Рекомендации после приёма,Код по приказу №804н,Ставка НДС
"Аллергокомплекс «Прогноз эффективности АСИТ Букоцветные деревья» IgE (ImmunoCAP) (Береза аллергокомпонент, t215 rBet v1 PR-10, Береза аллергокомпонент, t221 rBet v2, rBet v4)",4545.00,50.0.H194,7 дн,📋 Прочие анализы,,,
"Аллергокомплекс «Прогноз эффективности АСИТ: Злаковые травы» IgE (ImmunoCAP) (Тимофеевка луговая аллергокомпонент, g213 rPhl p1, rPhl p5b, Тимофеевка луговая, аллергокомпонент, g214 rPhl p7, rPhl p12)",4545.00,50.0.H195,7 дн,📋 Прочие анализы,,,
"Аллергокомплекс «Прогноз эффективности АСИТ: Сорные травы» IgE (ImmunoCAP) (аллергокомпоненты: Амброзия w230 nAmb a1, Полынь, w231 nArt v1 и w233 nArt v3, Тимофеевка луговая, g214 rPhl p7, rPhl p12)",9090.00,50.0.H196,7 дн,📋 Прочие анализы,,,
"Антитела IgG к RBD домену S 1 белка коронавируса SARS-Cov2 (Abbott, США, результат на английском и русском языках), колич.",1270.00,50.0.H204,5-7 дн,🦠 Серология,,A26.06.057.013,
"Чекап ""Красота и здоровье""",5640.00,50.0.H206,5-7 дн,🎯 Комплексные программы,,,
"Чекап ""Красота и здоровье кожи, расширенный""",6200.00,50.0.H207,5-7 дн,🎯 Комплексные программы,,,
"Чекап ""Контроль веса""",6070.00,50.0.H208,5-7 дн,🎯 Комплексные программы,,,
Чекап после ковида расширенный,8770.00,50.0.H213,5-7 дн,🎯 Комплексные программы,,,
Чекап Выпадение волос после Ковид,3945.00,50.0.H214,5-7 дн,🎯 Комплексные программы,,,
Чекап после ковида кардиологический,10365.00,50.0.H215,5-7 дн,🎯 Комплексные программы,,,
Чекап после ковида неврологический,6280.00,50.0.H216,5-7 дн,🎯 Комплексные программы,,,
"Обследование щитовидной железы, скрининг",2800.00,50.0.H22.201,1 дн,🎯 Комплексные программы,,,
"Чекап ""Хроническая усталость"" (включает диагностику железодефицита)",7815.00,50.0.H231,5-7 дн,🧪 Биохимия крови,,,
TORCH-комплекс расширенный,6880.00,50.0.H28.201,3 дн,🎯 Комплексные программы,,,
"Скрининг рака шейки матки, ко-тестирование: ПАП-тест (жидкостная цитология) и ВПЧ-тест 14 типов, колич.",3310.00,50.0.H302,5-7 дн,🧬 ПЦР диагностика & Генетика,,B03.027.015.001,
"Скрининг рака шейки матки, ко-тестирование: ПАП-тест (жидкостная цитология) и расширенный ВПЧ-тест 21 тип, колич.",4905.00,50.0.H303,5-7 дн,🧬 ПЦР диагностика & Генетика,,B03.027.015.002,
Диагностика дефицита железа,4050.00,50.0.H310,1 дн,🎯 Комплексные программы,,,
"TORCH-комплекс, базовый",5120.00,50.0.H33.201,3 дн,🎯 Комплексные программы,,,
"Диагностика инфекций, передающихся половым путем (кровь)",8080.00,50.0.H34.201,3 дн,🎯 Комплексные программы,,,
ПЦР-6,2710.00,50.0.H37.900,5-7 дн,🧬 ПЦР диагностика & Генетика,,,
ПЦР-12,5440.00,50.0.H38.900,5-7 дн,🧬 ПЦР диагностика & Генетика,,,
ПЦР-15,6940.00,50.0.H39.900,5-7 дн,🧬 ПЦР диагностика & Генетика,,,
ФЕМОФЛОР Скрин-12 (ДНК),3150.00,50.0.H41.900,0 дн,🧬 ПЦР диагностика & Генетика,,A26.20.032.004,
Фемофлор-8 (ДНК),2200.00,50.0.H42.900,0 дн,🧬 ПЦР диагностика & Генетика,,A26.20.032.003,
Фемофлор-16  (ДНК),3100.00,50.0.H43.900,0 дн,🧬 ПЦР диагностика & Генетика,,A26.20.032.005,
"Биохимический анализ крови, базовый",2450.00,50.0.H4.803,1 дн,🧪 Биохимия крови,,,
"ДНК папилломавирусов (ВПЧ) 14 типов (Контроль взятия материала, типы 6, 11, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59)типирование кол. на у.е. Hybrid Capture",1465.00,50.0.H49.900,1 дн,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.013,
Микроскопическое исследование отделяемого урогенитального тракта (цервикальный канал+влагалище+уретра),1500.00,50.0.H51.510,0 дн,📋 Прочие анализы,,A26.20.006,
"Тестостерон свободный (включает определение тестостерона общего и свободного, ГСПГ (SHBG), расчет индекса свободных андрогенов)",1585.00,50.0.H57.201,0 дн,📋 Прочие анализы,,A09.05.078.001.002,
Микроскопическое исследование отделяемого урогенитального тракта(цервикальный канал + влагалище),965.00,50.0.H59,0 дн,📋 Прочие анализы,,A12.28.015.003,
"ДНК хламидофил и микоплазм (Chlamydophila pneumoniae, Mycoplasma pneumoniae)",950.00,50.0.H65.900,5 дн,🦠 Серология,,A26.21.032.003,
"Авидность IgG к цитомегаловирусу (Cytomegalovirus) (включает определение антител к цитомегаловирусу, IgG)",1100.00,50.0.H74.201,4 дн,🦠 Серология,,A26.06.022.003,
"Авидность IgG к вирусу простого герпеса I, II типов (Herpes simplex virus I, II) (включает определение антител к вирусу простого герпеса I, II типов, IgG)",930.00,50.0.H75.201,4 дн,🦠 Серология,,A26.06.046.002,
"Авидность IgG к вирусу Эпштейна-Барр (Epstein-Barr virus, EBV) (включает определение антител к вирусу Эпштейна-Барр, IgG)",1100.00,50.0.H76.201,4 дн,🦠 Серология,,A26.06.029.003,
"Авидность IgG к вирусу краснухи (включает определение антител к вирусу краснухи, IgG)",1150.00,50.0.H77.201,4 дн,🦠 Серология,,A26.06.071.003,
"Авидность IgG к токсоплазме (Toxoplasma gondii) (включает определение антител к токсоплазме, IgG)",1150.00,50.0.H78.201,4 дн,🦠 Серология,,A26.06.081.003,
"ПЦР-6, количественно",2820.00,50.0.H81.900,3-5 дн,🧬 ПЦР диагностика & Генетика,,н/д,
Гастрокомплекс,3620.00,50.0.H84.201,1 дн,📋 Прочие анализы,,н/д,
"ДНК папилломавирусов (ВПЧ)21 тип (КВМ типы 6, 11, 16, 18, 26, 31, 33, 35, 39, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82),типирование кол., с пересчетом на у.е. Hybrid Capture",3235.00,50.0.H85.900,1 дн,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.014,
"TORCH-комплекс, скрининг",2550.00,50.0.H86.201,3 дн,🎯 Комплексные программы,,,
Биохимический анализ крови,3570.00,50.0.H87.900,1 дн,🧪 Биохимия крови,,,
Гематологический (диагностика анемий),5570.00,50.0.H88.900,1 дн,🎯 Комплексные программы,,,
Госпитальный терапевтический,3750.00,50.0.H89.900,1 дн,🎯 Комплексные программы,,,
Госпитальный хирургический,5150.00,50.0.H90.900,1 дн,🎯 Комплексные программы,,,
Диагностика диабета (биохимический),5050.00,50.0.H91.900,9 дн,🧪 Биохимия крови,,,
Диагностика паразитарных заболеваний,6750.00,50.0.H92.900,3 дн,🎯 Комплексные программы,,,
Кардиологический,6250.00,50.0.H93.900,1 дн,📋 Прочие анализы,,,
"Коагулограмма, скрининг (АЧТВ; Протромбин (время, по Квику, МНО); Тромбиновое время; Фибриноген)",1420.00,50.0.H94.203,1 дн,🧪 Биохимия крови,,,
"Липидный профиль, базовый",1750.00,50.0.H95.201,1 дн,🧪 Биохимия крови,,,
"Липидный профиль, расширенный",3850.00,50.0.H96.201,1 дн,🧪 Биохимия крови,,,
"Нефрологический, биохимический",1820.00,50.0.H98.201,1 дн,🧪 Биохимия крови,,,
Обследование печени,3300.00,50.0.H99.900,1 дн,📋 Прочие анализы,,,
Альфа-амилаза (диастаза) в разовой порции мочи,395.00,5.0.A1.401,3-5 дн,📋 Прочие анализы,,A09.28.027,
Бета-2-микроглобулин в разовой порции мочи,1415.00,5.0.A14.401,3-5 дн,📋 Прочие анализы,,A09.28.003.004,
Дезоксипиридинолин (DPD) в разовой порции мочи,2265.00,5.0.A15.401,3-5 дн,📋 Прочие анализы,,A09.28.064,
Оксалаты в суточной моче,1395.00,5.0.A20.403,8 дн,📋 Прочие анализы,,A09.28.018.002,
Глюкоза в разовой порции мочи,285.00,5.0.A7.401,3-5 дн,📋 Прочие анализы,,A09.28.011.001,
Определение химического состава мочевого конкремента (ИК-спектрометрия),4550.00,5.0.D10.401,3-5 дн,🧪 Биохимия крови,,A09.28.018,
Литос комплексный (включая оценку степени камнеобразования),3990.00,5.0.D11.401,3-5 дн,📋 Прочие анализы,,B03.053.001.002,
Глюкоза суточной мочи,370.00,5.0.D12.402,3-5 дн,📋 Прочие анализы,,A09.28.011,
Общий белок суточной мочи,370.00,5.0.D13.402,3-5 дн,📋 Прочие анализы,,A09.28.003.002,
Альбумин-креатининовое соотношение в разовой порции мочи(микроальбуминурия),550.00,5.0.D1.401,4 дн,📋 Прочие анализы,,A09.28.003.001.001,
Креатинин суточной мочи,370.00,5.0.D1.402,1 дн,📋 Прочие анализы,,A09.28.006,
Проба Реберга,440.00,5.0.D1.406,1 дн,📋 Прочие анализы,,A12.28.002,
Микроальбумин суточной мочи,580.00,5.0.D14.402,1 дн,📋 Прочие анализы,,A09.28.003.003,
Мочевина суточной мочи,280.00,5.0.D15.402,1 дн,📋 Прочие анализы,,A09.28.009,
Мочевая кислота мочи,280.00,5.0.D16.402,1 дн,📋 Прочие анализы,,A09.28.010,
Кальций общий суточной мочи,280.00,5.0.D17.403,1 дн,🧪 Биохимия крови,,A09.28.012,
Фосфор неорганический мочи,425.00,5.0.D18.403,1 дн,📋 Прочие анализы,,A09.28.026,
Магний мочи,375.00,5.0.D19.403,1 дн,🧪 Биохимия крови,,A09.28.060.002,
"Натрий, калий, хлор мочи (Na/K/Cl)",400.00,5.0.D2.403,1 дн,🧪 Биохимия крови,,A09.28.014.001,
"Литос-тест (Оценка степени камнеобразования, Глюкоза, Белок, pH)",3435.00,5.0.D5.401,1 дн,📋 Прочие анализы,,B03.053.001.001,
"Общие метанефрины и норметанефрины в суточной моче, ВЭЖХ-МС",3810.00,5.0.D8.403,1 дн,📋 Прочие анализы,,A09.28.034.001.001,
"Свободные метанефрины и норметанефрины в суточной моче, ВЭЖХ-МС",3145.00,5.0.D9.403,1 дн,📋 Прочие анализы,,A09.28.034.003,
"Органические кислоты (60 показателей) в разовой порции мочи, ГХ-МС",13590.00,5.1.A35,7 дн,📋 Прочие анализы,,B03.016.018.001,
Аминокислоты (28 показателей) в разовой порции мочи,5740.00,5.1.A36,6 дн,📋 Прочие анализы,,B03.016.025.002,
"Органические кислоты  (40 показателей) - скрининг наследственных болезней обмена у новорожденных и детей до 3 лет в разовой порции мочи, ГХ-МС",9515.00,5.1.A37,7 дн,🎯 Комплексные программы,,B03.016.018.002,
Кальций-креатининовое соотношение в разовой порции мочи,400.00,5.1.D3,1 дн,🧪 Биохимия крови,,B03.025.001.002,
"Литогенные субстанции мочи, 8 аналитов - оценка риска камнеобразования (суточная моча)",2740.00,5.2.A1,1 дн,📋 Прочие анализы,,B03.053.001.004,
ОКИ-тест (Shigella spp./ Salmonella spp./ Campylobacter spp./ Adenovirus F/ Rotavirus A/ Norovirus 2/ Astrovirus),1935.00,60.30.H31.101,2 дн,📋 Прочие анализы,,A26.19.069.001.001,
"Клинический анализ крови с лейкоцитарной формулой (5DIFF) и СОЭ, венозная кровь",835.00,60.30.H43.202,1 дн,🩺 Клинический анализ крови,,,
"Клинический анализ крови с лейкоцитарной формулой (5DIFF) и СОЭ, капиллярная кровь",875.00,60.35.H2,1 дн,🩺 Клинический анализ крови,,,
ПЦР-4 NCMT,1890.00,60.48.H13,1 дн,🧬 ПЦР диагностика & Генетика,,,
"Вирусы группы герпеса (EBV, CMV, HHV6) кровь, кач.",1750.00,60.48.H8,1 дн,🦠 Серология,,,
Анализ мочи по Зимницкому,620.00,6.1.A1.401,1 дн,📋 Прочие анализы,,B03.016.015,
Общий анализ мочи,380.00,6.1.D1.401,1 дн,📋 Прочие анализы,,B03.016.006,
Анализ мочи по Нечипоренко,450.00,6.1.D2.401,1 дн,📋 Прочие анализы,,B03.016.014,
2-х стаканная проба мочи,485.00,6.1.D4,1 дн,📋 Прочие анализы,,B03.016.006.003,
3-х стаканная проба мочи,515.00,6.1.D5,1 дн,📋 Прочие анализы,,B03.016.006.002,
Исследование кала на простейшие и яйца гельминтов методом обогащения (PARASEP),700.00,6.2.A12.101,1 дн,📋 Прочие анализы,,A26.19.010.001,
Кальпротектин (в кале),2740.00,6.2.A13.101,1 дн,📋 Прочие анализы,,A09.19.013,
"Исследование антигена кишечной палочки E.coli O157:H7, ИХГА",2260.00,6.2.A14,1 дн,🦠 Серология,,A26.19.046.001,
Зонулин фекальный,6840.00,6.2.A15,1 дн,📋 Прочие анализы,,A26.05.016.003,
Эозинофильный нейротоксин (EDN) в кале,3475.00,6.2.A16,11 дн,📋 Прочие анализы,,A26.05.016.004,
Альфа 1-антитрипсин в кале,1810.00,6.2.A17,1 дн,📋 Прочие анализы,,B03.019.012.001,
Желчные кислоты в кале,3610.00,6.2.A18,1 дн,📋 Прочие анализы,,A26.05.016.002,
"Аденовирус (обнаружение антигена в кале), ИХГА.",1030.00,6.2.A19,1 дн,🦠 Серология,,A26.19.090.001,
Активность химотрипсина в кале,2095.00,6.2.A20,1 дн,📋 Прочие анализы,,A26.05.016.007,
"Исследование кала на гемоглобин и гемоглобин/гаптоглобиновый комплекс, ColonView (иммунохимический тест на скрытую кровь)",1110.00,6.2.A24,1 дн,📋 Прочие анализы,,A09.19.001.003,
Исследование соскоба на энтеробиоз,490.00,6.2.A4.303,1 дн,🔍 Цитология,,A26.01.017.001,
Исследование кала на скрытую кровь,460.00,6.2.A5.101,1 дн,📋 Прочие анализы,,A09.19.001,
Содержание углеводов в кале ( в т. ч. лактоза),850.00,6.2.A6.101,1 дн,📋 Прочие анализы,,A09.19.012,
Панкреатическая эластаза 1 в кале,2190.00,6.2.A7.101,1 дн,📋 Прочие анализы,,A09.19.010,
Общий анализ кала (копрограмма),750.00,6.2.D1.101,1 дн,📋 Прочие анализы,,B03.016.010,
"Исследование кала на простейших, яйца гельминтов",550.00,6.2.D3.101,1 дн,📋 Прочие анализы,,A26.19.011.002,
"Биохимическое исследование метаболической активности кишечной микрофлоры, ГХ",2300.00,6.2.D7.101,9 дн,🧪 Микробиология,,B03.016.010.001,
Антиспермальные антитела класса IgA количественно (MAR-тест IgA),2310.00,6.3.A3.117,1 дн,🦠 Серология,,A12.06.028.002,
Фрагментация ДНК сперматозоидов (эякулят; заключение врача КЛД по исследовательскому отчету),7795.00,6.3.A34.117,1 дн,🧬 ПЦР диагностика & Генетика,,A27.21.001,
Антиспермальные антитела класса IgG количественно (MAR-тест IgG),2310.00,6.3.A4.117,1 дн,🦠 Серология,,A12.06.028.001,
Микроскопическое исследование на Демодекс (Demodex),570.00,6.3.A6.107,1 дн,📋 Прочие анализы,,A26.01.018,
Микроскопическое исследование отделяемого прямой кишки,655.00,6.3.D12.514,1 дн,📋 Прочие анализы,,A12.19.006,
Спермограмма (автоматический подсчет на анализаторе SQA),2515.00,6.3.D13.117,1 дн,📋 Прочие анализы,,B03.053.002.002,
Микроскопическое исследование секрета предстательной железы в моче,655.00,6.3.D14.401,1 дн,📋 Прочие анализы,,A12.21.005,
Микроскопическое исследование отделяемого уретры,655.00,6.3.D1.503,1 дн,📋 Прочие анализы,,A12.28.015,
Микроскопическое исследование мазка-отпечатка с головки полового члена,655.00,6.3.D15.515,1 дн,📋 Прочие анализы,,A12.21.004.001,
"Биохимическое исследование эякулята (цитрат, фруктоза, цинк)",2315.00,6.3.D16.117,1 дн,🧪 Биохимия крови,,A09.21.008.001,
Микроскопическое исследование секрета предстательной железы,695.00,6.3.D16.506,1 дн,📋 Прочие анализы,,A12.21.005.001,
Микроскопическое исследование отделяемого цервикального канала,655.00,6.3.D2.502,1 дн,📋 Прочие анализы,,A12.20.001.001,
Микроскопическое исследование отделяемого вульвы,655.00,6.3.D31,1 дн,📋 Прочие анализы,,A12.28.015.004,
Микроскопическое исследование отделяемого урогенитального тракта (влагалище + уретра) ,965.00,6.3.D32,1 дн,📋 Прочие анализы,,A26.20.006.002,
Микроскопическое исследование отделяемого влагалища,655.00,6.3.D3.501,1 дн,📋 Прочие анализы,,A12.20.001,
"Микроскопическое исследование ногтевых пластинок на наличие патогенных грибов, скрининг",825.00,6.3.D5.105,1 дн,🎯 Комплексные программы,,A26.01.033,
"Микроскопическое исследование соскобов кожи на наличие патогенных грибов, скрининг",825.00,6.3.D6.312,1 дн,🔍 Цитология,,A26.01.015,
"Микроскопическое исследование волос на наличие патогенных грибов, скрининг",825.00,6.3.D7.106,1 дн,🎯 Комплексные программы,,A26.01.011,
Общий анализ синовиальной жидкости (микроскопическое исследование+макроскопическое исследование),855.00,6.3.D8.601,1 дн,📋 Прочие анализы,,A12.04.001.001,
"Биохимическое исследование слюны (микробиоценоз полости рта), ГХ",2450.00,6.4.A1.900,9 дн,🧪 Микробиология,,A09.07.007.003,
Микроскопическое исследование назального секрета на эозинофилы,1095.00,6.5.D1,1 дн,📋 Прочие анализы,,A08.08.002.002,
Общий анализ мокроты,600.00,6.5.D2,1 дн,📋 Прочие анализы,,A12.09.010,
Микроскопическое исследование отделяемого конъюнктивы на эозинофилы,1095.00,6.5.D22,1 дн,📋 Прочие анализы,,A26.26.001.001,
"Трийодтиронин (Т3) общий, реверсивный (rТ3), индекс Т3/rТ3, ВЭЖХ-МС",6650.00,7.11.A1,1 дн,🧪 Биохимия крови,,B03.058.001.002,
Тироксин связывающая способность сыворотки (T-uptake),890.00,7.1.A10.201,1 дн,📋 Прочие анализы,,A09.05.097,
Тиреотропный гормон (ТТГ) ,560.00,7.1.A1.201,1 дн,📋 Прочие анализы,,A09.05.065,
Трийодтиронин реверсивный (rT3) ВЭЖХ-МС,7085.00,7.1.A20,1 дн,🧪 Биохимия крови,,B03.058.001.001,
Тироксин свободный (Т4 свободный),620.00,7.1.A2.201,1 дн,📋 Прочие анализы,,A09.05.063,
Трийодтиронин свободный (Т3 свободный),680.00,7.1.A3.201,1 дн,🧪 Биохимия крови,,A09.05.061,
Тироксин общий (Т4 общий),605.00,7.1.A4.201,1 дн,📋 Прочие анализы,,A09.05.064,
Трийодтиронин общий (Т3 общий),650.00,7.1.A5.201,1 дн,🧪 Биохимия крови,,A09.05.060,
Антитела к тиреоглобулину (Анти-ТГ),780.00,7.1.A6.201,1 дн,🦠 Серология,,A12.06.017,
Антитела к микросомальной тиреопероксидазе (Анти-ТПО),780.00,7.1.A7.201,1 дн,🦠 Серология,,A12.06.045,
Тиреоглобулин,1050.00,7.1.A8.201,1 дн,📋 Прочие анализы,,A09.05.117,
"Глобулин, связывающий половые гормоны (ГСПГ, SHBG)",705.00,7.2.A11.201,1 дн,📋 Прочие анализы,,A09.05.160,
Фолликулостимулирующий гормон (ФСГ),690.00,7.2.A1.201,1 дн,📋 Прочие анализы,,A09.05.132,
Ингибин В,1710.00,7.2.A12.201,1 дн,📋 Прочие анализы,,A09.05.203,
"Антимюллеров гормон (АМГ, АМН, MiS)",1550.00,7.2.A13.201,1 дн,📋 Прочие анализы,,A09.05.225,
Андростендиол глюкуронид,1720.00,7.2.A14.201,1 дн,📋 Прочие анализы,,A09.05.147,
"Эстрогены и их метаболиты (10 показателей) в суточной моче, ГХ/ВЭЖХ-МС",7950.00,7.2.A19,1 дн,📋 Прочие анализы,,A09.28.023.001,
"Эстрогены в крови (эстрадиол, эстрон и эстриол), ВЭЖХ-МС",2740.00,7.2.A21,1 дн,📋 Прочие анализы,,A09.05.154.001,
Лютеинизирующий гормон (ЛГ),680.00,7.2.A2.201,1 дн,📋 Прочие анализы,,A09.05.131,
"Тестостерон общий в крови, ВЭЖХ-МС",1750.00,7.2.A29,1 дн,📋 Прочие анализы,,A09.05.078.003,
Пролактин,705.00,7.2.A3.201,1 дн,📋 Прочие анализы,,A09.05.087,
Эстрадиол (Е2),705.00,7.2.A4.201,1 дн,📋 Прочие анализы,,A09.05.154,
Прогестерон,705.00,7.2.A5.201,1 дн,📋 Прочие анализы,,A09.05.153,
Гидроксипрогестерон (17-OH-прогестерон),940.00,7.2.A6.201,1 дн,📋 Прочие анализы,,A09.05.139,
Андростендион,1680.00,7.2.A7.201,1 дн,📋 Прочие анализы,,A09.05.146,
Дегидроэпиандростерон сульфат (ДГЭА-сульфат),735.00,7.2.A8.201,1 дн,📋 Прочие анализы,,A09.05.149,
Тестостерон общий,710.00,7.2.A9.201,1 дн,📋 Прочие анализы,,A09.05.078,
Макропролактин (включает определение пролактина),1310.00,7.2.D1.201,1 дн,📋 Прочие анализы,,A09.05.087.001,
Ассоциированный с беременностью протеин А (PAPP-A),1265.00,7.3.A1.201,1 дн,📋 Прочие анализы,,A09.05.161,
Эстриол свободный,845.00,7.3.A2.201,1 дн,📋 Прочие анализы,,A09.05.157,
Свободная субъединица бета-ХГЧ (пренатальный скрининг),1100.00,7.3.A4.201,1 дн,🎯 Комплексные программы,,A09.05.090,
Плацентарный лактоген,1150.00,7.3.A6.201,1 дн,📋 Прочие анализы,,A09.05.249,
"Общий бета-ХГЧ (диагностика беременности, онкомаркер) ",715.00,7.3.A7.201,1 дн,🎯 Комплексные программы,,A09.05.090.001,
Трофобластический бета-1-гликопротеин,695.00,7.3.A8.201,1 дн,📋 Прочие анализы,,A12.05.110,
"Плацентарный фактор роста (Placental Growth Factor, PIGF)",4550.00,7.3.A9.201,1 дн,📋 Прочие анализы,,B03.001.002,
"Пренатальный скрининг I триместра беременности PRISCA (10-13 недель; заключение врача КЛД по исследовательскому отчету): ассоциированный с беременностью протеин A (PAPP-A), свободная субъединица бета-ХГЧ",2185.00,7.3.D1.201,1 дн,🎯 Комплексные программы,,B03.032.002.002,
"Пренатальный скрининг II триместра беременности PRISCA (15-19 недель; заключение врача КЛД по исследовательскому отчету): альфа-фетопротеин (АФП), общий бета-ХГЧ, эстриол свободный",2430.00,7.3.D2.201,1 дн,🎯 Комплексные программы,,B03.032.002.001,
Адренокортикотропный гормон (АКТГ),1100.00,7.4.A1.209,1 дн,📋 Прочие анализы,,A09.05.067,
Кортизол ,790.00,7.4.A2.201,1 дн,📋 Прочие анализы,,A09.05.135,
Кортизол суточной мочи,1150.00,7.4.A3.403,1 дн,📋 Прочие анализы,,A09.28.035,
Дигидротестостерон,1780.00,7.4.A4.201,1 дн,📋 Прочие анализы,,A09.05.150,
"Эпиандростерон в суточной моче, ГХ-МС",1130.00,7.4.A9,5 дн,📋 Прочие анализы,,A09.28.048.001,
"Катехоламины (адреналин, норадреналин, дофамин) в суточной моче, ВЭЖХ-МС",2840.00,7.4.D1.403,1 дн,📋 Прочие анализы,,A09.28.034.004,
"Катехоламины (адреналин, норадреналин, дофамин) и их метаболиты (ванилилминдальная кислота, гомованилиновая кислота, 5-гидроксииндолуксусная кислота) в суточной моче, ГХ/ВЭЖХ-МС",4990.00,7.4.D2.403,1 дн,📋 Прочие анализы,,A09.28.034,
"Метаболиты катехоламинов (ванилилминдальная кислота, гомованилиновая кислота, 5-гидроксииндолуксусная кислота) в суточной моче, ГХ-МС",3880.00,7.4.D3.403,1 дн,📋 Прочие анализы,,A09.28.034.005,
"Катехоламины крови (адреналин, норадреналин, дофамин) и серотонин, ВЭЖХ-МС",3250.00,7.4.D5.202,1 дн,📋 Прочие анализы,,A09.05.143.001,
"Катехоламины крови (адреналин, норадреналин, дофамин), серотонин и их метаболиты (ванилилминдальная кислота, гомованилиновая кислота, 5-гидроксииндолуксусная кислота) в суточной моче, ГХ/ВЭЖХ-МС",4750.00,7.4.D6.407,1 дн,📋 Прочие анализы,,A09.05.143.002,
"17-кетостероиды (андростерон, андростендион, ДГЭА, этиохоланолон, эпиандростерон, тестостерон, эпитестостерон, прегнантриол, соотношение андростерон/этиохоланолон, соотношение тестостерон/эпитестостерон) в суточной моче, ГХ-МС",3510.00,7.4.D9,1 дн,📋 Прочие анализы,,B03.016.022.001,
Паратгормон,1050.00,7.5.A1.209,1 дн,📋 Прочие анализы,,A09.05.058,
Кальцитонин,1450.00,7.5.A2.209,1 дн,📋 Прочие анализы,,A09.05.119,
Остеокальцин,1050.00,7.5.A3.209,1 дн,📋 Прочие анализы,,A09.05.224,
С-концевые телопептиды коллагена I типа (Beta-Cross laps),1585.00,7.5.A4.201,1 дн,📋 Прочие анализы,,A09.05.297,
Маркер формирования костного матрикса P1NP,2300.00,7.5.A5.201,1 дн,📋 Прочие анализы,,A09.05.296,
Инсулин,850.00,7.6.A1.201,1 дн,📋 Прочие анализы,,A09.05.056,
С-пептид ,760.00,7.6.A2.201,1 дн,📋 Прочие анализы,,A09.05.205,
Проинсулин,2500.00,7.6.A3.201,1 дн,📋 Прочие анализы,,A09.05.056.003,
Инсулин после нагрузки (1 час спустя),955.00,7.6.D1.201,1 дн,📋 Прочие анализы,,A09.05.056.004,
Инсулин  после нагрузки (2 часа спустя),955.00,7.6.D2.201,1 дн,📋 Прочие анализы,,A09.05.056.002,
С-пептид после нагрузки (1 час спустя),905.00,7.6.D3.201,1 дн,📋 Прочие анализы,,A09.05.205.003,
C-пептид после нагрузки (2 часа спустя),905.00,7.6.D4.201,1 дн,📋 Прочие анализы,,A09.05.205.002,
"Серотонин, ВЭЖХ-МС",2450.00,7.7.A10,1 дн,📋 Прочие анализы,,A09.05.124,
Гастрин,1100.00,7.7.A1.201,1 дн,📋 Прочие анализы,,A09.05.057,
Соматотропный гормон роста (СТГ),990.00,7.7.A2.209,1 дн,📋 Прочие анализы,,A09.05.066,
Эритропоэтин,1570.00,7.7.A3.201,1 дн,📋 Прочие анализы,,A09.05.082,
"Инсулиноподобный фактор роста, ИФР I (Соматомедин С)",1520.00,7.7.A4.201,1 дн,📋 Прочие анализы,,A09.05.204,
Лептин,1320.00,7.7.A5.201,1 дн,📋 Прочие анализы,,A09.05.159,
"Гистамин, ВЭЖХ-МС",2980.00,7.7.A9,1дн,📋 Прочие анализы,,A09.05.085,
Соотношение концентраций пепсиногена I и песиногена II ,2250.00,7.7.D1.201,1дн,📋 Прочие анализы,,A09.16.003.001,
"Свободные метанефрины и норметанефрины в крови, ВЭЖХ-МС",2635.00,7.7.D2,1дн,📋 Прочие анализы,,A09.05.143.003,
Альдостерон,1150.00,7.8.A1.209,1дн,📋 Прочие анализы,,A09.05.069,
Ренин,1305.00,7.8.A2.209,1дн,📋 Прочие анализы,,A09.05.121,
Альдостерон-рениновое соотношение,2370.00,7.8.D2,1дн,📋 Прочие анализы,,A09.05.069.001,
"Кортизол свободный в слюне, ВЭЖХ-МС",1110.00,7.9.A1,1дн,📋 Прочие анализы,,A09.07.007.002,
"Диагностика стресса (Соотношение ДГЭА и кортизола), слюна (4 порции),ВЭЖХ-МС",5350.00,7.9.A2,5 дн,🎯 Комплексные программы,,B03.016.023.001,
"Дегидроэпиандростерон (ДГЭА) свободный в слюне, ВЭЖХ-МС",2070.00,7.9.A3,1 дн,📋 Прочие анализы,,A09.07.010,
"Тестостерон свободный в слюне, ВЭЖХ-МС",1800.00,7.9.A4,1 дн,📋 Прочие анализы,,A09.07.009,
"Андростендион свободный в слюне, ВЭЖХ-МС",2175.00,7.9.A40,1 дн,📋 Прочие анализы,,A09.07.009.001,
"Прегненолон свободный в слюне, ВЭЖХ-М",6250.00,7.9.A5,1 дн,📋 Прочие анализы,,A09.07.008.004,
"Мелатонин в крови, ВЭЖХ-МС",3070.00,7.9.A6,1 дн,📋 Прочие анализы,,A09.05.124.001,
"Мелатонин свободный в слюне, ВЭЖХ-МС",2690.00,7.9.A7,1 дн,📋 Прочие анализы,,A09.07.007.004,
"Прогестерон свободный в слюне, ВЭЖХ-МС",2175.00,7.9.A8,1 дн,📋 Прочие анализы,,A09.07.008.001,
