Название услуги,Цена,Код услуги,Длительность
Ревматоидный фактор (РФ),620.00,4.3.A9.201,1 дн
Глюкоза,355.00,4.4.A1.205,1 дн
Фруктозамин,795.00,4.4.A2.201,1 дн
Молочная кислота (лактат),720.00,4.4.A3.201,1 дн
Гликированный гемоглобин А1с,810.00,4.4.D1.202,1 дн
Глюкоза после нагрузки (1 час спустя),355.00,4.4.D2.205,1 дн
Глюкоза после нагрузки (2 часа спустя),355.00,4.4.D3.205,1 дн
Гомоцистеин,1850.00,4.5.A10.201,4 дн
Триглицериды,320.00,4.5.A1.201,1 дн
Желчные кислоты,2550.00,4.5.A12.201,1 дн
Холестерин общий ,370.00,4.5.A2.201,1 дн
"Холестерин липопротеидов высокой плотности (ЛПВП, HDL)",400.00,4.5.A3.201,1 дн
"Холестерин липопротеидов низкой плотности (ЛПНП, LDL)",400.00,4.5.A4.201,1 дн
Аполипопротеин А1,730.00,4.5.A6.201,1 дн
Аполипопротеин В,730.00,4.5.A7.201,1 дн
Липопротеин (а) ,1050.00,4.5.A8.201,1 дн
С-реактивный белок ультрачувствительный ,620.00,4.5.A9.201,1 дн
"Холестерин липопротеидов очень низкой плотности (ЛПОНП), (включая определение 4.5.A1.201 триглицеридов)",690.00,4.5.D2.201,1 дн
Коэффициент атерогенности (включает определение общего холестерина и ЛПВП),710.00,4.5.D3,1 дн
"Холестерин не-ЛПВП (non-HDL, включает определение общего холестерина и ЛПВП)",710.00,4.5.D4,1 дн
Билирубин общий,360.00,4.6.A1.201,1 дн
Билирубин прямой,360.00,4.6.A2.201,1 дн
Билирубин непрямой (включает определение общего и прямого билирубина),620.00,4.6.D1.201,1 дн
Кальций общий,360.00,4.7.A3.201,1 дн
Кальций ионизированный             ,580.00,4.7.A4.204,1 дн
Магний ,410.00,4.7.A5.201,1 дн
Фосфор неорганический,350.00,4.7.A6.201,1 дн
Цинк,420.00,4.7.A7.201,1 дн
Медь,505.00,4.7.A8.201,1 дн
"Натрий, калий, хлор (Na/K/Cl)",370.00,4.7.D1.201,1 дн
Железо          ,360.00,4.8.A1.201,1 дн
Латентная железосвязывающая способность сыворотки (ЛЖСС),400.00,4.8.A2.201,1 дн
Трансферрин  ,775.00,4.8.A3.201,1 дн
Ферритин,875.00,4.8.A4.201,1 дн
"Витамин В12, активный (холотранскобаламин)",2155.00,4.8.A6,1 дн
Гепсидин-25,8075.00,4.8.A7,1 дн
Растворимый рецептор трансферрина (sTRF),2165.00,4.8.A8,1 дн
"Общая железосвязывающая способность сыворотки (ОЖСС) (включает определение железа, ЛЖСС)",465.00,4.8.D1.201,1 дн
Коэффициент насыщения трансферрина железом (включает определение железа и ЛЖСС),750.00,4.8.D3.201,1 дн
"Обмен железа (железо, ЛЖСС, ОЖСС, коэффициент насыщения трансферрина железом)",1350.00,4.8.H1,1 дн
"Витамин К (филлохинон), ВЭЖХ-МС",2350.00,4.9.A10.201,6 дн
"Витамин В3 (ниацин), ВЭЖХ-МС",2350.00,4.9.A12,6 дн
"Витамин А (ретинол), ВЭЖХ-МС",2350.00,4.9.A1.201,5 дн
"Витамин В2 (рибофлавин), ВЭЖХ-МС",2350.00,4.9.A13,6 дн
"Витамин B7 (биотин), ВЭЖХ-МС",2350.00,4.9.A14,5 дн
"Витамин В1 (тиамин-пирофосфат), ВЭЖХ-МС",2350.00,4.9.A2.202,5 дн
"Витамин В5 (пантотеновая кислота), ВЭЖХ-МС",2350.00,4.9.A3.202,1 дн
"Витамин B6 (пиридоксаль-5-фосфат), ВЭЖХ-МС",2350.00,4.9.A4.202,5 дн
Витамин В 9 (фолиевая кислота),1150.00,4.9.A5.201,1 дн
Витамин В12 (цианкобаламин),920.00,4.9.A6.201,1 дн
"Витамин С (аскорбиновая кислота), ВЭЖХ-МС",2350.00,4.9.A7.204,5 дн
"25-OH витамин D, ИХЛА, суммарный (кальциферол)",2200.00,4.9.A8.201,1 дн
"Витамин E (альфа-токоферол) в крови, ВЭЖХ-МС",2590.00,4.9.A9.201,5 дн
"Полиненасыщенные жирные кислоты (ЖК) семейства Омега-3: докозагексаеновая (DHA), эйкозапентаеновая (EPA) - в цельной крови (мембранный, липопротеидный и свободно-жирнокислотный пулы). Витамин E (альфа-токоферол) в крови, ГХ/ВЭЖХ-МС",4895.00,4.9.D1.900,5 дн
"Полиненасыщенные жирные кислоты (ЖК) семейства Омега-6: линолевая (LA), гамма-линоленовая (GLA), арахидоновая  (AA) кислоты - в цельной крови (мембранный, липопротеидный и свободно-жирнокислотный пулы), ГХ-МС",4520.00,4.9.D2.202,5 дн
"Анализ Омега-3 жирных кислот в сыворотке крови: линоленовая, эйкозапентаеновая, докозапентаеновая, докозагексаеновая, Омега-3 индекс, ГХ",5160.00,4.9.D25,6 дн
"Определение Омега-3 индекса (оценка риска внезапной сердечной смерти, инфаркта миокарда и других сердечно-сосудистых заболеваний), ГХ",4300.00,4.9.D3,5 дн
"Оксидативный стресс (7 показателей): малоновый диальдегид, коэнзим Q10 общий (убихинон), витамин E (альфа-токоферол), витамин C, витамин A, бета-каротин (транс-форма), глутатион свободный (восстановленный, GSH) в крови, ВЭЖХ",13500.00,4.9.D6.900,7 дн
"Жирорастворимые витамины (A, D, E, K)",9545.00,4.9.H1.201,6 дн
"Водорастворимые витамины (B1, B5, B6, В9, В12, С)",11945.00,4.9.H2.900,6 дн
"Комплексный анализ крови на витамины (A, D, E, K, C, B1, B5, B6, В9, B12)",21490.00,4.9.H3.900,6 дн
Обследование щитовидной железы,6900.00,50.0.H100.900,3 дн
Онкологический для женщин (биохимический),8050.00,50.0.H101.201,1 дн
Онкологический для мужчин (биохимический),4930.00,50.0.H102.201,1 дн
Планирование беременности (гормоны) - лютеиновая фаза,3870.00,50.0.H103.201,3 дн
"Ревматологический, расширенный",11550.00,50.0.H105.201,11 дн
"ПЦР-12, количественно",5640.00,50.0.H107.900,3 дн
ДНК ВОЗБУДИТЕЛЕЙ ЗППП,6615.00,50.0.H108.900,3 дн
"Планирование беременности, базовый",2450.00,50.0.H109.201,1 дн
"Обследование печени, базовый",1590.00,50.0.H11.201,1 дн
"Пакет «ОК!» (оценка риска тромбоза при приёме ОК и ГЗТ), 2 показателя",1935.00,50.0.H112.202,1-3 дн
"Пакет «ОнкоРиски» (BRCA1/2, фолатный цикл), 12 показателей",9450.00,50.0.H113.202,1-3 дн
"Пакет «Риски возникновения сердечно-сосудистых заболеваний» (риск нарушения свёртывания крови и гипертонии, фолатный цикл), 21 показатель",9760.00,50.0.H114.202,1-3 дн
"Гемохроматоз, определение мутаций HFE: 187C>G (rs1799945); HFE: 845G>A (rs1800562)",3215.00,50.0.H115.202,1-3 дн
Определение SNP в гене IL 28B человека IL28B: C>T (rs12979860); IL28B: T>G (rs8099917),1630.00,50.0.H116.202,1-3 дн
Гормональный комплекс для мужчин,3500.00,50.0.H117.201,1 дн
"Типирование грибов, расширенный",1445.00,50.0.H117.900,1-3 дн
Гормональный комплекс для женщин,7620.00,50.0.H118.201,3 дн
Дифференциальная диагностика заболеваний ЖКТ,7900.00,50.0.H119,8 дн
Инсулинорезистентность,950.00,50.0.H120.900,1дн
Скрининговая диагностика ВИЧ,2950.00,50.0.H121.900,3 дн
Антифосфолипидный синдром (АФС),3800.00,50.0.H122.900,8дн
Фитнес. Физические нагрузки,3980.00,50.0.H123.900,1 дн
Диагностика нарушений функции яичников,3190.00,50.0.H124.201,8 дн
"Метаболиты эстрогенов и их соотношение в разовой порции мочи, ВЭЖХ-МС",7690.00,50.0.H125.401,1-3 дн
"Стероидный профиль крови (17-ОПГ, 21-дезоксикортизол, андростендион, ДГЭА, дезоксикортикостерон, кортизол, кортизон, кортикостерон, прогестерон, тестостерон, 11-дезоксикортизол, 17-ОН-прегненолон), ВЭЖХ-МС",8500.00,50.0.H126.201,1-3 дн
"Чекап базовый, женщины",9455.00,50.0.H128.900,1-3 дн
"Чекап базовый, мужчины",10085.00,50.0.H129.900,1-3 дн
"Чекап расширенный, женщины",12710.00,50.0.H130.900,1-3 дн
"Чекап расширенный, мужчины",11710.00,50.0.H131.900,1-3 дн
"Диагностика гепатитов, скрининг",3850.00,50.0.H13.201,1дн
"Чекап экспертный, женщины",15245.00,50.0.H132.900,1-3 дн
"Чекап экспертный, мужчины",15485.00,50.0.H133.900,1-3 дн
Спорт. Базовый скрининг,1680.00,50.0.H134.900,1-3 дн
"Спорт. Биохимическая оценка работоспособности, скрининг",2080.00,50.0.H135.900,1-3 дн
TORCH-комплекс с авидностью,6800.00,50.0.H136.201,4 дн
Диагностика сосудистых заболеваний головного мозга,4870.00,50.0.H139.900,4 дн
Диагностика демиелинизирующих заболеваний (Антитела к аквапорину -4; Антитела к глутаматному рецептору NMDA-типа; Ферритин; Церулоплазмин; С-реактивный белок; Ревматоидный фактор (РФ)),9570.00,50.0.H140.900,1-3 дн
Диагностика нейрогенных опухолей,11085.00,50.0.H141.900,10 дн
Диагностика дегенеративных заболеваний позвоночника,12100.00,50.0.H142.900,10 дн
Посев на грибы (возбудители микозов) (без определения чувствительности к антимикотикам),2050.00,50.0.H145,1-3 дн
"Коагулограмма, расширенная",4490.00,50.0.H146,1 дн
Госпитальный,1925.00,50.0.H147,1 дн
"Комплексный анализ крови на наличие тяжёлых металлов и микроэлементов 23 показателя (Li, B, Na, Mg, Al, Si, K, Ca, Ti, Cr, Mn, Fe, Co, Ni, Cu, Zn, As, Se, Mo, Cd, Sb, Hg, Pb), спектрометрия",5315.00,50.0.H153,7 дн
"Комплексный анализ на наличие тяжёлых металлов и микроэлементов 23 показателя (Li, B, Na, Mg, Al, Si, K, Ca, Ti, Cr, Mn, Fe, Co, Ni, Cu, Zn, As, Se, Mo, Cd, Sb, Hg, Pb) в разовой порции мочи, спектрометрия",5315.00,50.0.H154,6 дн
"Комплексный анализ волос на наличие тяжёлых металлов и микроэлементов 23 показателя (Li, B, Na, Mg, Al, Si, K, Ca, Ti, Cr, Mn, Fe, Co, Ni, Cu, Zn, As, Se, Mo, Cd, Sb, Hg, Pb), спектрометрия",5315.00,50.0.H155,7 дн
"Маркеры остеопороза, биохимический",7600.00,50.0.H157,8  дн
Мониторинг лечения остеопороза,4800.00,50.0.H158,8 дн
Биохимическое исследование для СтеатоСкрин (включает графический файл),8375.00,50.0.H159,5-7 дн
Биохимическое исследование для ФиброТест,17790.00,50.0.H161,5-7 дн
Биохимическое исследование для НЭШ-Фибротест (включает графический файл),19175.00,50.0.H162,5-7 дн
"Чекап женщины, 3 уровень (Мутовин)",6430.00,50.0.H163,5-7 дн
"Чекап женщины, 2 уровень (Мутовин)",20820.00,50.0.H164,5-7 дн
"Чекап женщины, 1 уровень (Мутовин)",7395.00,50.0.H165,5-7 дн
"Чекап мужчины, 3 уровень (Мутовин)",9590.00,50.0.H166,5-7 дн
"Чекап мужчины, 2 уровень (Мутовин)",15645.00,50.0.H167,5-7 дн
"Чекап мужчины, 1 уровень (Мутовин)",8030.00,50.0.H168,5-7 дн
"РНК коронавируса SARS-CoV-2 (COVID-19, результат на английском и русском языках)",1450.00,50.0.H181,5-7 дн
Чекап после ковида,7425.00,50.0.H189,5-7 дн
"Аллергокомплекс «Пищевая аллергия» IgE (ImmunoCAP) (Яичный белок f1,  Молоко f2,  Треска f3,  Пшеница f4, Арахис f13, Соя f14, Фундук f17, Креветка f24, Персик f95)",8385.00,50.0.H193,7 дн
"Аллергокомплекс «Прогноз эффективности АСИТ Букоцветные деревья» IgE (ImmunoCAP) (Береза аллергокомпонент, t215 rBet v1 PR-10, Береза аллергокомпонент, t221 rBet v2, rBet v4)",4545.00,50.0.H194,7 дн
"Аллергокомплекс «Прогноз эффективности АСИТ: Злаковые травы» IgE (ImmunoCAP) (Тимофеевка луговая аллергокомпонент, g213 rPhl p1, rPhl p5b, Тимофеевка луговая, аллергокомпонент, g214 rPhl p7, rPhl p12)",4545.00,50.0.H195,7 дн
"Аллергокомплекс «Прогноз эффективности АСИТ: Сорные травы» IgE (ImmunoCAP) (аллергокомпоненты: Амброзия w230 nAmb a1, Полынь, w231 nArt v1 и w233 nArt v3, Тимофеевка луговая, g214 rPhl p7, rPhl p12)",9090.00,50.0.H196,7 дн
"Антитела IgG к RBD домену S 1 белка коронавируса SARS-Cov2 (Abbott, США, результат на английском и русском языках), колич.",1270.00,50.0.H204,5-7 дн
"Чекап ""Красота и здоровье""",5640.00,50.0.H206,5-7 дн
"Чекап ""Красота и здоровье кожи, расширенный""",6200.00,50.0.H207,5-7 дн
"Чекап ""Контроль веса""",6070.00,50.0.H208,5-7 дн
Чекап после ковида расширенный,8770.00,50.0.H213,5-7 дн
Чекап Выпадение волос после Ковид,3945.00,50.0.H214,5-7 дн
Чекап после ковида кардиологический,10365.00,50.0.H215,5-7 дн
Чекап после ковида неврологический,6280.00,50.0.H216,5-7 дн
"Обследование щитовидной железы, скрининг",2800.00,50.0.H22.201,1 дн
"Чекап ""Хроническая усталость"" (включает диагностику железодефицита)",7815.00,50.0.H231,5-7 дн
TORCH-комплекс расширенный,6880.00,50.0.H28.201,3 дн
"Скрининг рака шейки матки, ко-тестирование: ПАП-тест (жидкостная цитология) и ВПЧ-тест 14 типов, колич.",3310.00,50.0.H302,5-7 дн
"Скрининг рака шейки матки, ко-тестирование: ПАП-тест (жидкостная цитология) и расширенный ВПЧ-тест 21 тип, колич.",4905.00,50.0.H303,5-7 дн
Диагностика дефицита железа,4050.00,50.0.H310,1 дн
"TORCH-комплекс, базовый",5120.00,50.0.H33.201,3 дн
"Диагностика инфекций, передающихся половым путем (кровь)",8080.00,50.0.H34.201,3 дн
ПЦР-6,2710.00,50.0.H37.900,5-7 дн
ПЦР-12,5440.00,50.0.H38.900,5-7 дн
ПЦР-15,6940.00,50.0.H39.900,5-7 дн
ФЕМОФЛОР Скрин-12 (ДНК),3150.00,50.0.H41.900,0 дн
Фемофлор-8 (ДНК),2200.00,50.0.H42.900,0 дн
Фемофлор-16  (ДНК),3100.00,50.0.H43.900,0 дн
"Биохимический анализ крови, базовый",2450.00,50.0.H4.803,1 дн
"ДНК папилломавирусов (ВПЧ) 14 типов (Контроль взятия материала, типы 6, 11, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59)типирование кол. на у.е. Hybrid Capture",1465.00,50.0.H49.900,1 дн
Микроскопическое исследование отделяемого урогенитального тракта (цервикальный канал+влагалище+уретра),1500.00,50.0.H51.510,0 дн
"Тестостерон свободный (включает определение тестостерона общего и свободного, ГСПГ (SHBG), расчет индекса свободных андрогенов)",1585.00,50.0.H57.201,0 дн
Микроскопическое исследование отделяемого урогенитального тракта(цервикальный канал + влагалище),965.00,50.0.H59,0 дн
"ДНК хламидофил и микоплазм (Chlamydophila pneumoniae, Mycoplasma pneumoniae)",950.00,50.0.H65.900,5 дн
"Авидность IgG к цитомегаловирусу (Cytomegalovirus) (включает определение антител к цитомегаловирусу, IgG)",1100.00,50.0.H74.201,4 дн
"Авидность IgG к вирусу простого герпеса I, II типов (Herpes simplex virus I, II) (включает определение антител к вирусу простого герпеса I, II типов, IgG)",930.00,50.0.H75.201,4 дн
"Авидность IgG к вирусу Эпштейна-Барр (Epstein-Barr virus, EBV) (включает определение антител к вирусу Эпштейна-Барр, IgG)",1100.00,50.0.H76.201,4 дн
"Авидность IgG к вирусу краснухи (включает определение антител к вирусу краснухи, IgG)",1150.00,50.0.H77.201,4 дн
"Авидность IgG к токсоплазме (Toxoplasma gondii) (включает определение антител к токсоплазме, IgG)",1150.00,50.0.H78.201,4 дн
"ПЦР-6, количественно",2820.00,50.0.H81.900,3-5 дн
Гастрокомплекс,3620.00,50.0.H84.201,1 дн
"ДНК папилломавирусов (ВПЧ)21 тип (КВМ типы 6, 11, 16, 18, 26, 31, 33, 35, 39, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82),типирование кол., с пересчетом на у.е. Hybrid Capture",3235.00,50.0.H85.900,1 дн
"TORCH-комплекс, скрининг",2550.00,50.0.H86.201,3 дн
Биохимический анализ крови,3570.00,50.0.H87.900,1 дн
Гематологический (диагностика анемий),5570.00,50.0.H88.900,1 дн
Госпитальный терапевтический,3750.00,50.0.H89.900,1 дн
Госпитальный хирургический,5150.00,50.0.H90.900,1 дн
Диагностика диабета (биохимический),5050.00,50.0.H91.900,9 дн
Диагностика паразитарных заболеваний,6750.00,50.0.H92.900,3 дн
Кардиологический,6250.00,50.0.H93.900,1 дн
"Коагулограмма, скрининг (АЧТВ; Протромбин (время, по Квику, МНО); Тромбиновое время; Фибриноген)",1420.00,50.0.H94.203,1 дн
"Липидный профиль, базовый",1750.00,50.0.H95.201,1 дн
"Липидный профиль, расширенный",3850.00,50.0.H96.201,1 дн
"Нефрологический, биохимический",1820.00,50.0.H98.201,1 дн
Обследование печени,3300.00,50.0.H99.900,1 дн
Альфа-амилаза (диастаза) в разовой порции мочи,395.00,5.0.A1.401,3-5 дн
Бета-2-микроглобулин в разовой порции мочи,1415.00,5.0.A14.401,3-5 дн
Дезоксипиридинолин (DPD) в разовой порции мочи,2265.00,5.0.A15.401,3-5 дн
Оксалаты в суточной моче,1395.00,5.0.A20.403,8 дн
Глюкоза в разовой порции мочи,285.00,5.0.A7.401,3-5 дн
Определение химического состава мочевого конкремента (ИК-спектрометрия),4550.00,5.0.D10.401,3-5 дн
Литос комплексный (включая оценку степени камнеобразования),3990.00,5.0.D11.401,3-5 дн
Глюкоза суточной мочи,370.00,5.0.D12.402,3-5 дн
Общий белок суточной мочи,370.00,5.0.D13.402,3-5 дн
Альбумин-креатининовое соотношение в разовой порции мочи(микроальбуминурия),550.00,5.0.D1.401,4 дн
Креатинин суточной мочи,370.00,5.0.D1.402,1 дн
Проба Реберга,440.00,5.0.D1.406,1 дн
Микроальбумин суточной мочи,580.00,5.0.D14.402,1 дн
Мочевина суточной мочи,280.00,5.0.D15.402,1 дн
Мочевая кислота мочи,280.00,5.0.D16.402,1 дн
Кальций общий суточной мочи,280.00,5.0.D17.403,1 дн
Фосфор неорганический мочи,425.00,5.0.D18.403,1 дн
Магний мочи,375.00,5.0.D19.403,1 дн
"Натрий, калий, хлор мочи (Na/K/Cl)",400.00,5.0.D2.403,1 дн
"Литос-тест (Оценка степени камнеобразования, Глюкоза, Белок, pH)",3435.00,5.0.D5.401,1 дн
"Общие метанефрины и норметанефрины в суточной моче, ВЭЖХ-МС",3810.00,5.0.D8.403,1 дн
"Свободные метанефрины и норметанефрины в суточной моче, ВЭЖХ-МС",3145.00,5.0.D9.403,1 дн
"Органические кислоты (60 показателей) в разовой порции мочи, ГХ-МС",13590.00,5.1.A35,7 дн
Аминокислоты (28 показателей) в разовой порции мочи,5740.00,5.1.A36,6 дн
"Органические кислоты  (40 показателей) - скрининг наследственных болезней обмена у новорожденных и детей до 3 лет в разовой порции мочи, ГХ-МС",9515.00,5.1.A37,7 дн
Кальций-креатининовое соотношение в разовой порции мочи,400.00,5.1.D3,1 дн
"Литогенные субстанции мочи, 8 аналитов - оценка риска камнеобразования (суточная моча)",2740.00,5.2.A1,1 дн
ОКИ-тест (Shigella spp./ Salmonella spp./ Campylobacter spp./ Adenovirus F/ Rotavirus A/ Norovirus 2/ Astrovirus),1935.00,60.30.H31.101,2 дн
"Клинический анализ крови с лейкоцитарной формулой (5DIFF) и СОЭ, венозная кровь",835.00,60.30.H43.202,1 дн
"Клинический анализ крови с лейкоцитарной формулой (5DIFF) и СОЭ, капиллярная кровь",875.00,60.35.H2,1 дн
ПЦР-4 NCMT,1890.00,60.48.H13,1 дн
"Вирусы группы герпеса (EBV, CMV, HHV6) кровь, кач.",1750.00,60.48.H8,1 дн
Анализ мочи по Зимницкому,620.00,6.1.A1.401,1 дн
Общий анализ мочи,380.00,6.1.D1.401,1 дн
Анализ мочи по Нечипоренко,450.00,6.1.D2.401,1 дн
2-х стаканная проба мочи,485.00,6.1.D4,1 дн
3-х стаканная проба мочи,515.00,6.1.D5,1 дн
Исследование кала на простейшие и яйца гельминтов методом обогащения (PARASEP),700.00,6.2.A12.101,1 дн
Кальпротектин (в кале),2740.00,6.2.A13.101,1 дн
"Исследование антигена кишечной палочки E.coli O157:H7, ИХГА",2260.00,6.2.A14,1 дн
Зонулин фекальный,6840.00,6.2.A15,1 дн
Эозинофильный нейротоксин (EDN) в кале,3475.00,6.2.A16,11 дн
Альфа 1-антитрипсин в кале,1810.00,6.2.A17,1 дн
Желчные кислоты в кале,3610.00,6.2.A18,1 дн
"Аденовирус (обнаружение антигена в кале), ИХГА.",1030.00,6.2.A19,1 дн
Активность химотрипсина в кале,2095.00,6.2.A20,1 дн
"Исследование кала на гемоглобин и гемоглобин/гаптоглобиновый комплекс, ColonView (иммунохимический тест на скрытую кровь)",1110.00,6.2.A24,1 дн
Исследование соскоба на энтеробиоз,490.00,6.2.A4.303,1 дн
Исследование кала на скрытую кровь,460.00,6.2.A5.101,1 дн
Содержание углеводов в кале ( в т. ч. лактоза),850.00,6.2.A6.101,1 дн
Панкреатическая эластаза 1 в кале,2190.00,6.2.A7.101,1 дн
Общий анализ кала (копрограмма),750.00,6.2.D1.101,1 дн
"Исследование кала на простейших, яйца гельминтов",550.00,6.2.D3.101,1 дн
"Биохимическое исследование метаболической активности кишечной микрофлоры, ГХ",2300.00,6.2.D7.101,9 дн
Антиспермальные антитела класса IgA количественно (MAR-тест IgA),2310.00,6.3.A3.117,1 дн
Фрагментация ДНК сперматозоидов (эякулят; заключение врача КЛД по исследовательскому отчету),7795.00,6.3.A34.117,1 дн
Антиспермальные антитела класса IgG количественно (MAR-тест IgG),2310.00,6.3.A4.117,1 дн
Микроскопическое исследование на Демодекс (Demodex),570.00,6.3.A6.107,1 дн
Микроскопическое исследование отделяемого прямой кишки,655.00,6.3.D12.514,1 дн
Спермограмма (автоматический подсчет на анализаторе SQA),2515.00,6.3.D13.117,1 дн
Микроскопическое исследование секрета предстательной железы в моче,655.00,6.3.D14.401,1 дн
Микроскопическое исследование отделяемого уретры,655.00,6.3.D1.503,1 дн
Микроскопическое исследование мазка-отпечатка с головки полового члена,655.00,6.3.D15.515,1 дн
"Биохимическое исследование эякулята (цитрат, фруктоза, цинк)",2315.00,6.3.D16.117,1 дн
Микроскопическое исследование секрета предстательной железы,695.00,6.3.D16.506,1 дн
Микроскопическое исследование отделяемого цервикального канала,655.00,6.3.D2.502,1 дн
Микроскопическое исследование отделяемого вульвы,655.00,6.3.D31,1 дн
Микроскопическое исследование отделяемого урогенитального тракта (влагалище + уретра) ,965.00,6.3.D32,1 дн
Микроскопическое исследование отделяемого влагалища,655.00,6.3.D3.501,1 дн
"Микроскопическое исследование ногтевых пластинок на наличие патогенных грибов, скрининг",825.00,6.3.D5.105,1 дн
"Микроскопическое исследование соскобов кожи на наличие патогенных грибов, скрининг",825.00,6.3.D6.312,1 дн
"Микроскопическое исследование волос на наличие патогенных грибов, скрининг",825.00,6.3.D7.106,1 дн
Общий анализ синовиальной жидкости (микроскопическое исследование+макроскопическое исследование),855.00,6.3.D8.601,1 дн
"Биохимическое исследование слюны (микробиоценоз полости рта), ГХ",2450.00,6.4.A1.900,9 дн
Микроскопическое исследование назального секрета на эозинофилы,1095.00,6.5.D1,1 дн
Общий анализ мокроты,600.00,6.5.D2,1 дн
Микроскопическое исследование отделяемого конъюнктивы на эозинофилы,1095.00,6.5.D22,1 дн
"Трийодтиронин (Т3) общий, реверсивный (rТ3), индекс Т3/rТ3, ВЭЖХ-МС",6650.00,7.11.A1,1 дн
Тироксин связывающая способность сыворотки (T-uptake),890.00,7.1.A10.201,1 дн
Тиреотропный гормон (ТТГ) ,560.00,7.1.A1.201,1 дн
Трийодтиронин реверсивный (rT3) ВЭЖХ-МС,7085.00,7.1.A20,1 дн
Тироксин свободный (Т4 свободный),620.00,7.1.A2.201,1 дн
Трийодтиронин свободный (Т3 свободный),680.00,7.1.A3.201,1 дн
Тироксин общий (Т4 общий),605.00,7.1.A4.201,1 дн
Трийодтиронин общий (Т3 общий),650.00,7.1.A5.201,1 дн
Антитела к тиреоглобулину (Анти-ТГ),780.00,7.1.A6.201,1 дн
Антитела к микросомальной тиреопероксидазе (Анти-ТПО),780.00,7.1.A7.201,1 дн
Тиреоглобулин,1050.00,7.1.A8.201,1 дн
"Глобулин, связывающий половые гормоны (ГСПГ, SHBG)",705.00,7.2.A11.201,1 дн
Фолликулостимулирующий гормон (ФСГ),690.00,7.2.A1.201,1 дн
Ингибин В,1710.00,7.2.A12.201,1 дн
"Антимюллеров гормон (АМГ, АМН, MiS)",1550.00,7.2.A13.201,1 дн
Андростендиол глюкуронид,1720.00,7.2.A14.201,1 дн
"Эстрогены и их метаболиты (10 показателей) в суточной моче, ГХ/ВЭЖХ-МС",7950.00,7.2.A19,1 дн
"Эстрогены в крови (эстрадиол, эстрон и эстриол), ВЭЖХ-МС",2740.00,7.2.A21,1 дн
Лютеинизирующий гормон (ЛГ),680.00,7.2.A2.201,1 дн
"Тестостерон общий в крови, ВЭЖХ-МС",1750.00,7.2.A29,1 дн
Пролактин,705.00,7.2.A3.201,1 дн
Эстрадиол (Е2),705.00,7.2.A4.201,1 дн
Прогестерон,705.00,7.2.A5.201,1 дн
Гидроксипрогестерон (17-OH-прогестерон),940.00,7.2.A6.201,1 дн
Андростендион,1680.00,7.2.A7.201,1 дн
Дегидроэпиандростерон сульфат (ДГЭА-сульфат),735.00,7.2.A8.201,1 дн
Тестостерон общий,710.00,7.2.A9.201,1 дн
Макропролактин (включает определение пролактина),1310.00,7.2.D1.201,1 дн
Ассоциированный с беременностью протеин А (PAPP-A),1265.00,7.3.A1.201,1 дн
Эстриол свободный,845.00,7.3.A2.201,1 дн
Свободная субъединица бета-ХГЧ (пренатальный скрининг),1100.00,7.3.A4.201,1 дн
Плацентарный лактоген,1150.00,7.3.A6.201,1 дн
"Общий бета-ХГЧ (диагностика беременности, онкомаркер) ",715.00,7.3.A7.201,1 дн
Трофобластический бета-1-гликопротеин,695.00,7.3.A8.201,1 дн
"Плацентарный фактор роста (Placental Growth Factor, PIGF)",4550.00,7.3.A9.201,1 дн
"Пренатальный скрининг I триместра беременности PRISCA (10-13 недель; заключение врача КЛД по исследовательскому отчету): ассоциированный с беременностью протеин A (PAPP-A), свободная субъединица бета-ХГЧ",2185.00,7.3.D1.201,1 дн
"Пренатальный скрининг II триместра беременности PRISCA (15-19 недель; заключение врача КЛД по исследовательскому отчету): альфа-фетопротеин (АФП), общий бета-ХГЧ, эстриол свободный",2430.00,7.3.D2.201,1 дн
Адренокортикотропный гормон (АКТГ),1100.00,7.4.A1.209,1 дн
Кортизол ,790.00,7.4.A2.201,1 дн
Кортизол суточной мочи,1150.00,7.4.A3.403,1 дн
Дигидротестостерон,1780.00,7.4.A4.201,1 дн
"Эпиандростерон в суточной моче, ГХ-МС",1130.00,7.4.A9,5 дн
"Катехоламины (адреналин, норадреналин, дофамин) в суточной моче, ВЭЖХ-МС",2840.00,7.4.D1.403,1 дн
"Катехоламины (адреналин, норадреналин, дофамин) и их метаболиты (ванилилминдальная кислота, гомованилиновая кислота, 5-гидроксииндолуксусная кислота) в суточной моче, ГХ/ВЭЖХ-МС",4990.00,7.4.D2.403,1 дн
"Метаболиты катехоламинов (ванилилминдальная кислота, гомованилиновая кислота, 5-гидроксииндолуксусная кислота) в суточной моче, ГХ-МС",3880.00,7.4.D3.403,1 дн
"Катехоламины крови (адреналин, норадреналин, дофамин) и серотонин, ВЭЖХ-МС",3250.00,7.4.D5.202,1 дн
"Катехоламины крови (адреналин, норадреналин, дофамин), серотонин и их метаболиты (ванилилминдальная кислота, гомованилиновая кислота, 5-гидроксииндолуксусная кислота) в суточной моче, ГХ/ВЭЖХ-МС",4750.00,7.4.D6.407,1 дн
